"filename", "language", "JavaScript", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\Almir\eShop\src\App.js", "JavaScript", 22, 0, 0, 12, 0, 34
"c:\Users\Almir\eShop\src\App.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Almir\eShop\src\components\adminOnlyRoutes\AdminOnlyRoutes.js", "JavaScript", 28, 0, 0, 0, 4, 32
"c:\Users\Almir\eShop\src\components\admin\Navbar\Navbar.js", "JavaScript", 46, 0, 0, 0, 3, 49
"c:\Users\Almir\eShop\src\components\admin\Navbar\Navbar.module.scss", "SCSS", 0, 38, 0, 0, 5, 43
"c:\Users\Almir\eShop\src\components\admin\addProduct\AddProduct.js", "JavaScript", 109, 0, 0, 71, 8, 188
"c:\Users\Almir\eShop\src\components\admin\addProduct\AddProduct.module.scss", "SCSS", 0, 49, 0, 3, 3, 55
"c:\Users\Almir\eShop\src\components\admin\home\Home.js", "JavaScript", 9, 0, 0, 0, 3, 12
"c:\Users\Almir\eShop\src\components\admin\home\Home.module.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Almir\eShop\src\components\admin\orders\Orders.js", "JavaScript", 9, 0, 0, 0, 3, 12
"c:\Users\Almir\eShop\src\components\admin\orders\Orders.module.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Almir\eShop\src\components\admin\viewProducts\ViewProducts.js", "JavaScript", 37, 0, 0, 1, 5, 43
"c:\Users\Almir\eShop\src\components\admin\viewProducts\ViewProducts.module.scss", "SCSS", 0, 39, 0, 0, 7, 46
"c:\Users\Almir\eShop\src\components\card\Card.js", "JavaScript", 10, 0, 0, 0, 3, 13
"c:\Users\Almir\eShop\src\components\card\card.module.scss", "SCSS", 0, 6, 0, 0, 0, 6
"c:\Users\Almir\eShop\src\components\footer\Footer.js", "JavaScript", 12, 0, 0, 0, 3, 15
"c:\Users\Almir\eShop\src\components\footer\Footer.module.scss", "SCSS", 0, 12, 0, 0, 0, 12
"c:\Users\Almir\eShop\src\components\header\Header.js", "JavaScript", 132, 0, 0, 3, 15, 150
"c:\Users\Almir\eShop\src\components\header\Header.module.scss", "SCSS", 0, 197, 0, 12, 20, 229
"c:\Users\Almir\eShop\src\components\hiddenLink\hiddenLink.js", "JavaScript", 17, 0, 0, 0, 7, 24
"c:\Users\Almir\eShop\src\components\index.js", "JavaScript", 3, 0, 0, 0, 0, 3
"c:\Users\Almir\eShop\src\components\loader\Loader.js", "JavaScript", 15, 0, 0, 0, 3, 18
"c:\Users\Almir\eShop\src\components\loader\Loader.module.scss", "SCSS", 0, 14, 0, 0, 1, 15
"c:\Users\Almir\eShop\src\components\slider\Slider.js", "JavaScript", 55, 0, 0, 0, 10, 65
"c:\Users\Almir\eShop\src\components\slider\Slider.scss", "SCSS", 0, 101, 0, 1, 12, 114
"c:\Users\Almir\eShop\src\components\slider\slider-data.js", "JavaScript", 22, 0, 0, 0, 0, 22
"c:\Users\Almir\eShop\src\firebase\config.js", "JavaScript", 17, 0, 0, 2, 3, 22
"c:\Users\Almir\eShop\src\index.css", "CSS", 0, 0, 362, 11, 61, 434
"c:\Users\Almir\eShop\src\index.js", "JavaScript", 12, 0, 0, 0, 1, 13
"c:\Users\Almir\eShop\src\pages\admin\Admin.js", "JavaScript", 28, 0, 0, 0, 3, 31
"c:\Users\Almir\eShop\src\pages\admin\Admin.module.scss", "SCSS", 0, 11, 0, 0, 1, 12
"c:\Users\Almir\eShop\src\pages\auth\Login.js", "JavaScript", 87, 0, 0, 0, 6, 93
"c:\Users\Almir\eShop\src\pages\auth\Register.js", "JavaScript", 82, 0, 0, 0, 8, 90
"c:\Users\Almir\eShop\src\pages\auth\Reset.js", "JavaScript", 56, 0, 0, 0, 6, 62
"c:\Users\Almir\eShop\src\pages\auth\auth.module.scss", "SCSS", 0, 69, 0, 0, 5, 74
"c:\Users\Almir\eShop\src\pages\cart\Cart.js", "JavaScript", 10, 0, 0, 0, 2, 12
"c:\Users\Almir\eShop\src\pages\cart\Cart.module.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Almir\eShop\src\pages\contact\Contact.js", "JavaScript", 9, 0, 0, 0, 3, 12
"c:\Users\Almir\eShop\src\pages\contact\Contact.module.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Almir\eShop\src\pages\home\Home.js", "JavaScript", 11, 0, 0, 0, 3, 14
"c:\Users\Almir\eShop\src\pages\home\Home.module.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Almir\eShop\src\pages\index.js", "JavaScript", 5, 0, 0, 0, 1, 6
"c:\Users\Almir\eShop\src\pages\orderHistory\OrderHistory.js", "JavaScript", 8, 0, 0, 0, 4, 12
"c:\Users\Almir\eShop\src\pages\orderHistory\OrderHistory.module.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Almir\eShop\src\redux\slice\authSlice.js", "JavaScript", 34, 0, 0, 0, 5, 39
"c:\Users\Almir\eShop\src\redux\store.js", "JavaScript", 9, 0, 0, 0, 2, 11
"Total", "-", 894, 536, 362, 116, 236, 2144